IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
430,0,1795,1795.66,149,149.22,88.28,421,447.0,0.94,36.5,31.96,12.17,11.48,3.0,2.78,1.41,80.54,84.48,4514,6174,5234.14
431,0,1895,1895.09,148,148.85,96.33,447,478.0,0.94,39.96,34.86,10.3,11.21,3.88,3.11,1.02,58.3,60.24,4711,6471,5367.91
432,0,101,101.65,149,150.11,185.68,1164,1274.0,0.91,80.41,71.16,13.93,14.75,5.77,4.82,0.37,21.14,21.14,4569,6832,5230.82
433,0,1627,1627.93,148,148.7,81.01,366,386.0,0.95,32.89,28.23,11.7,11.15,2.81,2.53,1.91,109.54,113.16,4645,6376,5401.39
434,0,1826,1826.23,139,139.45,64.63,292,300.0,0.97,24.74,21.19,13.34,11.75,1.85,1.8,2.9,165.96,174.38,4530,6311,5134.46
435,0,1850,1850.64,139,139.47,67.8,302,316.0,0.96,26.25,22.54,12.65,11.56,2.08,1.95,2.83,162.26,172.6,4414,6033,5058.67
437,0,1116,1116.9,145,145.63,135.4,663,733.0,0.9,58.19,51.39,8.25,11.74,7.06,4.38,0.33,19.06,17.89,4703,6582,5410.92
438,0,1312,1312.88,146,146.53,71.84,328,345.0,0.95,27.8,24.35,12.81,11.68,2.17,2.09,0.91,52.31,51.67,4598,6247,5270.98
439,0,1449,1449.84,149,149.85,90.33,435,458.0,0.95,36.62,32.17,12.21,11.77,3.0,2.73,0.96,55.01,58.46,4755,6669,5411.65
440,0,1062,1062.23,151,151.89,99.05,485,523.0,0.93,41.87,36.48,11.4,11.72,3.67,3.11,2.27,130.16,128.26,4570,6635,5379.11
441,0,1075,1075.37,147,147.86,79.74,380,395.0,0.96,32.02,28.04,11.4,11.68,2.81,2.4,2.25,128.66,131.99,4601,6627,5374.36
442,0,1497,1497.62,150,150.31,88.43,425,455.0,0.93,36.24,30.42,11.18,12.21,3.24,2.49,2.06,117.98,116.11,4666,6765,5410.14
443,0,211,211.1,144,144.76,91.94,450,485.0,0.93,37.36,32.57,12.65,12.17,2.95,2.68,2.87,164.48,167.87,4548,6593,5334.1
444,0,281,281.28,154,154.11,92.08,446,472.0,0.94,37.16,32.36,12.08,11.93,3.08,2.71,1.16,66.19,67.19,4558,6134,5118.25
445,0,1527,1527.95,151,151.95,79.11,360,390.0,0.92,31.05,26.74,11.4,11.59,2.72,2.31,1.83,104.93,103.72,4569,6711,5381.68
446,0,1768,1768.72,153,153.03,85.6,395,416.0,0.95,35.36,30.07,12.53,11.3,2.82,2.66,2.07,118.74,114.15,4616,6655,5394.21
447,0,402,402.73,146,146.35,76.53,344,362.0,0.95,30.68,26.63,11.7,11.12,2.62,2.4,0.33,19.03,17.53,4563,5942,5054.92
448,0,834,834.57,155,155.38,106.02,538,567.0,0.95,44.6,40.07,11.31,11.84,3.94,3.39,0.74,42.27,46.06,4540,6504,5236.61
449,0,1921,1921.72,147,147.73,101.84,473,504.0,0.94,43.01,37.72,10.44,11.01,4.12,3.43,0.31,17.59,17.3,4863,6864,5534.7
450,0,192,192.37,156,156.23,128.02,656,730.0,0.9,54.08,48.39,10.82,12.38,5.0,3.91,2.55,146.31,146.04,4498,6675,5395.73
451,0,1246,1246.27,146,146.41,109.7,576,612.0,0.94,46.53,40.96,12.17,12.27,3.82,3.34,2.99,171.35,174.33,4512,6333,5225.66
452,0,1369,1369.53,160,160.35,107.11,524,572.0,0.92,44.18,39.46,11.05,12.01,4.0,3.29,1.66,95.19,90.26,4525,6500,5261.58
453,0,1461,1461.39,155,155.54,86.67,414,436.0,0.95,34.99,30.49,13.04,11.75,2.68,2.59,1.03,59.04,61.38,4657,6878,5465.04
454,0,1754,1754.22,156,156.72,82.87,392,412.0,0.95,33.06,28.73,11.0,11.89,3.01,2.42,1.63,93.47,93.29,4492,6756,5300.9
