,Abscissa,red_250319_2619+2621_0p5agarose_LB_OD0p5_mix50pc_1h30_20X_019.tif,red_250402_2619+2621_2_0p5agarose_LB_OD0p5_Still_mix50pc_1h30_20X_027.tif,red_250506_2619+2621_1_0p5Agarose_LB_OD0p5_Still_mix50pc_1h30_20X055.tif,green_250319_2619+2621_0p5agarose_LB_OD0p5_mix50pc_1h30_20X_019.tif,green_250402_2619+2621_2_0p5agarose_LB_OD0p5_Still_mix50pc_1h30_20X_027.tif,green_250506_2619+2621_1_0p5Agarose_LB_OD0p5_Still_mix50pc_1h30_20X055.tif
98,301.2085263389043,35.7,114.13333333333335,114.96666666666667,76.63333333333334,227.4,161.26666666666665
99,304.44732769738715,46.13333333333333,123.53333333333336,112.93333333333334,63.5,213.7666666666667,165.16666666666666
100,307.68612905586997,24.333333333333332,139.03333333333336,114.63333333333334,72.06666666666666,217.5666666666667,169.79999999999998
101,310.9249304143528,36.833333333333336,139.23333333333335,123.56666666666669,88.1,209.39999999999998,170.93333333333337
102,314.16373177283566,30.0,126.36666666666667,125.23333333333335,87.50000000000001,202.76666666666665,160.10000000000002
103,317.4025331313185,26.300000000000004,116.43333333333335,100.63333333333333,81.33333333333334,220.53333333333336,166.2666666666667
104,320.64133448980135,49.9,121.53333333333335,110.7,73.7,206.7,139.86666666666667
105,323.88013584828417,44.26666666666667,119.06666666666666,98.40000000000002,60.43333333333334,205.66666666666669,157.63333333333335
106,327.11893720676704,41.833333333333336,122.26666666666668,97.23333333333332,73.5,216.2666666666667,181.4
107,330.35773856524986,40.66666666666667,113.79999999999998,125.33333333333333,76.96666666666667,222.8,168.20000000000002
108,333.5965399237327,42.33333333333334,113.10000000000002,107.83333333333331,74.06666666666668,208.10000000000002,183.39999999999998
109,336.83534128221555,56.96666666666667,124.30000000000003,92.5,83.23333333333333,200.33333333333331,181.23333333333332
110,340.07414264069837,40.733333333333334,134.86666666666667,83.80000000000001,72.60000000000001,202.23333333333332,193.43333333333334
111,343.31294399918124,35.46666666666667,131.36666666666667,100.2,88.90000000000002,235.1,209.49999999999997
112,346.55174535766406,44.2,140.39999999999998,95.13333333333334,70.43333333333335,231.29999999999998,195.9333333333333
113,349.79054671614693,47.266666666666666,128.93333333333334,98.7,69.46666666666665,183.4,164.36666666666667
