IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
225,0,1698,1698.67,51,51.84,90.57,431,455.0,0.95,37.44,32.86,11.66,11.42,3.21,2.88,2.17,124.11,125.37,2604,5044,3592.12
226,0,1996,1996.75,52,52.29,83.36,355,384.0,0.92,33.53,29.51,10.44,10.51,3.21,2.81,1.27,72.65,73.67,3106,5482,3904.53
227,0,578,578.86,53,53.71,90.08,383,411.0,0.93,37.16,32.68,9.85,10.18,3.77,3.21,1.99,113.81,117.08,3082,5377,3856.91
228,0,767,767.67,54,54.45,89.6,388,413.0,0.94,36.25,32.42,10.77,10.44,3.37,3.1,2.0,114.44,108.43,2987,5583,3828.14
229,0,986,986.8,45,45.4,87.94,411,439.0,0.94,34.93,31.15,11.18,11.58,3.12,2.69,0.23,13.24,14.72,2812,5465,3672.67
230,0,1378,1378.22,52,52.74,135.54,645,720.0,0.9,57.31,51.45,9.43,11.47,6.07,4.49,0.51,29.25,26.06,2796,5771,3766.62
231,0,1843,1843.36,61,61.73,110.04,538,576.0,0.93,47.27,42.23,11.18,11.2,4.23,3.77,1.46,83.93,88.35,2931,5604,3863.74
232,0,84,84.64,50,50.46,78.33,367,383.0,0.96,31.24,27.13,11.4,11.62,2.74,2.34,0.69,39.81,43.97,2530,4943,3418.8
233,0,742,742.77,53,53.43,75.21,326,346.0,0.94,30.27,26.61,12.17,10.55,2.49,2.52,1.7,97.59,90.69,3016,5604,3819.87
234,0,1317,1317.79,61,61.15,119.15,563,623.0,0.9,49.65,44.4,11.4,11.56,4.35,3.84,1.24,71.2,69.15,2969,5806,3675.18
235,0,1355,1355.95,44,44.34,88.38,417,434.0,0.96,36.22,32.69,11.18,11.15,3.24,2.93,3.03,173.66,177.96,3080,5511,3841.55
236,0,387,387.37,55,55.34,80.43,353,375.0,0.94,32.89,28.43,10.77,10.79,3.05,2.64,1.91,109.54,111.94,2871,5362,3688.83
237,0,456,456.32,51,51.31,89.5,409,430.0,0.95,36.72,32.4,10.3,11.1,3.57,2.92,0.51,29.36,29.02,2922,5435,3760.48
238,0,845,845.77,45,45.8,83.21,366,396.0,0.92,33.38,30.37,10.2,10.84,3.27,2.8,0.15,8.62,0.58,2773,5362,3598.02
239,0,104,104.76,56,56.71,80.28,342,367.0,0.93,31.4,27.78,11.18,10.86,2.81,2.56,1.73,99.16,100.15,2868,5150,3575.94
240,0,1813,1813.12,51,51.48,74.43,316,338.0,0.93,30.0,26.16,10.0,10.55,3.0,2.48,0.64,36.87,36.5,2931,5633,3738.5
242,0,1178,1178.54,53,53.71,120.57,598,645.0,0.93,50.6,45.05,12.65,11.8,4.0,3.82,2.82,161.57,160.3,2940,5385,3902.28
243,0,1547,1547.09,58,58.36,91.98,407,437.0,0.93,37.74,33.42,11.66,10.6,3.24,3.15,1.01,57.99,57.42,3026,5376,3763.71
244,0,567,567.21,56,56.99,75.94,333,352.0,0.95,29.41,25.97,11.7,11.17,2.51,2.33,1.88,107.82,110.16,2825,5005,3613.46
245,0,1558,1558.34,61,61.05,97.98,417,455.0,0.92,40.5,36.85,9.43,10.15,4.29,3.63,1.0,57.09,59.68,3028,5434,3675.99
246,0,1957,1957.84,50,50.11,92.28,434,459.0,0.95,38.47,33.69,11.18,11.21,3.44,3.01,0.16,8.97,8.36,2940,5531,3795.48
247,0,226,226.5,60,60.32,89.84,373,401.0,0.93,36.67,32.87,9.85,10.09,3.72,3.26,1.12,64.13,66.39,2895,5352,3725.6
248,0,1141,1141.04,50,50.54,69.46,291,304.0,0.96,27.66,24.45,11.18,10.29,2.47,2.38,0.22,12.53,12.29,2988,5408,3857.25
249,0,1685,1685.25,60,60.92,84.87,382,408.0,0.94,34.53,30.53,11.18,10.9,3.09,2.8,1.75,100.01,99.19,2872,5148,3711.49
250,0,1070,1070.58,53,53.69,117.11,558,608.0,0.92,49.65,44.79,10.2,10.99,4.87,4.07,0.16,9.27,8.1,2974,5377,3784.93
251,0,1330,1330.7,61,61.03,81.01,337,363.0,0.93,33.11,29.38,9.85,10.15,3.36,2.9,1.13,64.98,65.15,2956,5357,3719.89
252,0,1672,1671.79,75,75.08,127.6,577,655.0,0.88,54.23,48.46,8.0,11.2,6.78,4.33,1.48,84.71,86.44,2986,5209,3815.49
254,0,171,171.92,69,69.34,101.64,467,499.0,0.94,42.72,37.94,10.82,10.86,3.95,3.49,1.0,57.43,56.84,2825,5338,3638.21
255,0,852,852.11,57,57.02,98.63,463,502.0,0.92,40.31,36.91,11.18,11.19,3.61,3.3,0.12,7.13,2.45,2764,5177,3476.39
256,0,1220,1220.55,61,61.1,104.33,490,524.0,0.94,43.46,38.29,10.77,11.2,4.04,3.42,0.4,23.03,24.69,2972,5697,3823.11
257,0,138,137.96,67,67.85,95.05,459,483.0,0.95,39.96,35.53,11.66,11.41,3.43,3.11,2.12,121.7,126.6,2872,5303,3701.26
258,0,595,595.54,65,65.86,75.8,343,364.0,0.94,29.61,26.45,11.18,11.29,2.65,2.34,1.77,101.69,92.97,2670,5057,3633.83
259,0,911,911.5,71,71.46,134.99,679,751.0,0.9,58.6,53.37,10.0,11.79,5.86,4.53,2.5,143.33,141.71,2634,4991,3484.62
260,0,1114,1114.25,57,57.47,68.28,268,284.0,0.94,27.29,23.77,10.2,9.71,2.68,2.45,0.15,8.43,14.69,3001,5174,3721.29
261,0,1522,1522.33,64,64.44,81.74,375,391.0,0.96,33.6,29.6,11.4,11.03,2.95,2.68,0.93,53.47,51.13,2793,5425,3700.1
262,0,642,642.78,66,66.72,76.04,330,346.0,0.95,30.68,26.8,11.7,10.58,2.62,2.53,1.9,109.03,101.44,2817,4967,3502.01
263,0,1400,1400.06,67,67.54,111.54,529,567.0,0.93,47.43,42.37,10.82,11.1,4.39,3.82,0.61,34.7,34.14,2931,5215,3692.77
